image_id,label,shape_area,shape_perimeter,shape_equiv_diameter,shape_eccentricity,shape_solidity,shape_extent,shape_circularity,shape_aspect_ratio,shape_major_axis,shape_minor_axis,intensity_mean,intensity_std,intensity_min,intensity_max,intensity_median,intensity_skew,intensity_kurt,intensity_p10,intensity_p90,intensity_entropy,glcm_contrast,glcm_dissimilarity,glcm_homogeneity,glcm_ASM,glcm_energy,glcm_correlation,lbp_bin0,lbp_bin1,lbp_bin2,lbp_bin3,lbp_bin4,lbp_bin5,lbp_bin6,lbp_bin7,lbp_bin8,lbp_bin9
62,1,32435.0,1401.644840409422,203.21792399659287,0.6110594857780439,0.6887289251284665,0.5419110153208695,0.20746641427516746,1.2632887243528317,264.2496682511056,209.17598895413056,32.74515184214583,17.252725179898466,0.0,220.0,29.0,1.48513012359773,5.8226950843763206,15.0,56.0,5.948692713906283,2.7150475013830913,0.7701540267740781,0.7449217642182773,0.20805497409407375,0.4560344607722525,0.768433726203855,0.0322799445043934,0.05706798211808232,0.06338831509172191,0.16149221519963003,0.21254817326961614,0.14398026822876522,0.08278094650840141,0.06973947895791584,0.08974872822568214,0.08697394789579159
63,1,78006.0,3167.082574037657,315.15127149769063,0.8401862400161563,0.7351982055003675,0.5790833370451205,0.0977280198596347,1.8440047092647671,495.0152320519498,268.4457526409029,65.65282157782735,20.507440295622867,21.0,202.0,65.0,0.6704876339960494,1.2227017488213292,40.0,91.0,6.361865278174381,3.6036687142677324,0.6631628219034467,0.8033381708894656,0.1794878712170215,0.42352107344447576,0.9028534594499233,0.010204343255647001,0.05935440863523319,0.03806117478142707,0.1154782965412917,0.3167448657795554,0.1912160603030536,0.08250647386098506,0.07098171935492141,0.05913647668128093,0.05631618080660462
64,0,10813.0,1074.4062043356594,117.33515754973577,0.8719613042231008,0.6831132731063239,0.6057703081232493,0.11771154279878206,2.0425887970312164,205.766565302063,100.73812487424422,87.65994636086192,21.11864775870565,23.0,227.0,90.0,0.015129804362947547,0.01402362988568262,58.0,113.0,6.4188321519956055,11.910731922655316,1.4500507826394649,0.6923029548751236,0.13905654521327743,0.37238076775116286,0.8052156620982224,0.03246092666235088,0.06371959678165172,0.0636271155091094,0.1406640155368538,0.23185055026357163,0.15092943678905021,0.09220382872468325,0.07037824840469804,0.06436696568944789,0.08979931563858319
65,0,25881.0,1603.317892581091,181.52882045915118,0.9144712898945196,0.7590626466447677,0.673984375,0.12651780202529428,2.4712666587605634,324.79549759894144,131.4287539337576,33.51211313318651,19.64344319156154,0.0,247.0,30.0,0.7234809314360923,0.9842985362723295,10.0,62.0,6.214835801867083,2.98628859697374,0.67814390715943,0.7920652760235181,0.12815908374524485,0.35733385189604333,0.7921262606832569,0.014334840230284765,0.05107994281519261,0.03836791468644952,0.12847262470538232,0.25976585139677755,0.20505390054480122,0.0984506008268614,0.06792627796452996,0.07012866581662223,0.06641938101309841
66,0,13443.0,821.4812767608818,130.82873996135098,0.858419149299467,0.8066122644905797,0.6281188673955705,0.25032874599893545,1.9495119665991907,208.0064056152316,106.69665494697455,95.4930447072826,21.31870308132536,31.0,204.0,96.0,0.2553367858109052,0.4868602451085331,68.0,121.0,6.465946594961064,7.920710643300775,1.2248515592196596,0.6778596102617505,0.1371248289213104,0.3702040201659794,0.8881809664177972,0.0403927694711002,0.07810756527560812,0.064122591683404,0.13486572937588337,0.21892434724391877,0.14810682139403408,0.0891170125715986,0.07200773636837016,0.059510525924272854,0.09484490069180987
67,0,12709.0,813.6711395993651,127.20692345167059,0.8890612610007645,0.6472625413801885,0.4838943039902528,0.24122561343563748,2.1844160881203134,227.52831268616305,104.1597861888807,33.60390274608545,23.783497146536313,0.0,249.0,23.0,2.0414684380451646,8.35583030451475,15.0,67.0,6.038595614486731,4.416450320001285,0.7730964100918383,0.7906879962390453,0.26842968995465744,0.5180392049475062,0.7174226511219979,0.038083248091903374,0.05618065937524589,0.060823038791407665,0.12479345345817924,0.155952474624282,0.12951451727122512,0.08198914155322999,0.07899913447163427,0.17208277598552207,0.10158155637737036
68,1,17409.0,1026.7016228714147,148.88192379968243,0.8725552238018262,0.8634560063485766,0.730672374716696,0.20753683642765677,2.047018008273518,225.82059984009575,110.31686039272114,37.539950600264234,20.78561351610903,0.0,253.0,34.0,1.661470631175418,8.414350425416988,16.0,64.0,6.18760517352273,5.581946802312578,1.2298866668228228,0.6300433527581693,0.07823802921382503,0.2793548367423874,0.6732033458270337,0.040381411913378136,0.06559825377678212,0.0731230972485496,0.15319662243667068,0.1768625423631455,0.14343155838933885,0.08415187546671261,0.07364007122752599,0.08690907002125338,0.10270549715664312
69,1,27632.0,1555.8803384216046,187.5690675461229,0.8640443617348751,0.6971967804607272,0.5849032640447059,0.143439842235422,1.9864300048647132,334.0628054660369,168.17245241358927,44.092646207295886,23.71623924288192,0.0,255.0,44.0,0.3053477954542084,1.343310350228042,12.0,75.0,6.533304863276011,4.065984426286601,0.86804025595376,0.7391512391998917,0.19137005109522837,0.4372373284863408,0.8222380028061389,0.016068326577880716,0.042704111175448756,0.05153445280833816,0.15655761436016213,0.31380283729009845,0.18652287203242618,0.07762738853503184,0.04288506079907354,0.05815720903300521,0.054140127388535034
70,1,6223.0,525.3452377915606,89.01331185214332,0.8657718173858658,0.7736200895077076,0.5214513155689626,0.2833479438435079,1.9982456700762017,134.78133140901673,67.44983033236196,20.457496384380523,9.956957889434236,0.0,64.0,20.0,0.2684769622692099,-0.457763916677254,8.0,34.0,5.359543859240153,0.953815044858451,0.41851894701536574,0.8386436981435341,0.25123333660633856,0.5007538155700213,0.7584694228572741,0.0167121966896995,0.052868391451068614,0.04194118592318817,0.13771492849108147,0.23429214205367185,0.20777759922866784,0.10220151052547002,0.07038405913546521,0.0650811505704644,0.07102683593122289
71,0,2283.0,321.27922061357856,53.91480205500505,0.9012109614595891,0.7731120894006096,0.5224256292906179,0.27793964619932454,2.3074402598888892,91.18889656618627,39.51950486058404,46.30968024529128,15.439652009305565,11.0,95.0,45.0,0.18328474585851667,-0.7805598422763915,27.0,68.0,5.9686100997993625,5.553535793153638,1.0956009466643175,0.7188058007281735,0.18731693554025527,0.43193284297821255,0.6941082859112885,0.017958826106000875,0.0337275514673675,0.04862023653088042,0.1375383267630311,0.3004818221638195,0.20017520805957073,0.09855453350854139,0.05387647831800263,0.04862023653088042,0.06044678055190539
